pilot_order,item_id,org_id,organization,date,platform,title,coding_source_quality,ai_coding_confidence,coding_abstain,ambiguity_flag,threat_appraisal,harm_loss_appraisal,injustice_appraisal,uncertainty_appraisal,responsibility_blame_appraisal,intentionality_appraisal,norm_violation_appraisal,vulnerability_appraisal,controllability_appraisal,coping_efficacy_appraisal,collective_efficacy_appraisal,care_need_appraisal,opportunity_hope_appraisal,fear_intensity,anxiety_uncertainty_intensity,anger_intensity,moral_outrage_intensity,grief_sadness_intensity,solidarity_intensity,care_compassion_intensity,empathy_intensity,hope_intensity,gratitude_intensity,pride_intensity,reassurance_intensity,defiance_intensity,urgency_emotion_intensity,other_emotion_intensity,function_inform,function_warn,function_reassure,function_regulate_fear,function_mobilize,function_advocate,function_provide_service,function_fundraise,function_build_solidarity,function_generate_empathy,function_moral_evaluation,function_increase_efficacy,function_mourn_commemorate,function_document_testify,function_celebrate,function_encourage_defiance,function_other,action_orientation_present,action_type,action_specificity,action_immediacy,audience_primary,direct_address,urgency_level,legal_information_present,service_information_present,resource_link_present,appraisal_evidence_notes,emotion_evidence_notes,function_evidence_notes,action_evidence_notes,audience_tone_evidence_notes,coding_source_note,ambiguity_notes,ai_coder_id
11,TC054-LI-002,TC054,Alight,2026-02-11,LinkedIn,Four nonprofits providing lifesaving care to refugees in 2026,summary_plus_title,medium,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,,none,none,general_public,0,1,0,1,0,"Refugee health, trauma-healing, and crisis-response needs indicate vulnerability, harm exposure, care need, and response capacity.","Care is clearest; solidarity and empathy are present in amplifying organizations providing lifesaving support. Fear/grief are low and contextual.","The post informs and amplifies refugee-serving organizations, building solidarity/empathy and signaling available response capacity.","No explicit audience action is recoverable from the preserved title and summary.","General public/supporter-facing amplification of refugee-serving work.","Canonical LinkedIn title plus substantive collector summary; full verbatim caption not preserved.","Action and intensity coding kept conservative because the post amplifies an external article.",GPT-5.6-Sol_ai_coding_v1
12,TC057-WEB-001,TC057,Immigrant Law Center of Minnesota,2025-12-03,website,Targeted ICE Enforcement of Somali Community in Minnesota Is Racist and Islamophobic,summary_plus_title,high,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,2,1,2,3,1,2,2,1,0,0,0,0,2,2,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,share_information,general,moderate,general_public,0,2,1,0,0,"The release frames targeted enforcement of Minnesota's Somali community as discriminatory, harmful, intentional, and norm-violating.","Moral outrage is dominant in the explicit 'racist and Islamophobic' condemnation; anger, fear, solidarity, care, and defiance are also clear.","The item informs, warns, condemns, advocates, documents harm, and builds solidarity with a targeted community.","The preserved summary indicates advocacy/mobilization but does not preserve a concrete procedural ask; coded general.","Public-facing rights and advocacy communication centered on Minnesota's Somali community.","Official ILCM release with exact title/date and substantive collector summary.",,GPT-5.6-Sol_ai_coding_v1
13,TC073-LI-004,TC073,Center for Victims of Torture,2026-01-28,LinkedIn,NEWS: We’re delighted to announce that Sonya Funna Evelyn has joined CVT as president and CEO!,summary_plus_title,high,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,none,none,general_public,0,0,0,0,0,"Leadership transition is framed as an organizational opportunity and capacity-building moment.","Delight and celebratory framing support hope and pride, with lower gratitude/care.","The post informs about leadership and celebrates the appointment while signaling organizational capacity.","No audience action is requested.","General supporter/public announcement.","Canonical LinkedIn title plus substantive summary.",,GPT-5.6-Sol_ai_coding_v1
14,TC073-WEB-004,TC073,Center for Victims of Torture,2025-12-10,website,Mental Health is a Human Right: CVT’s Afghan Projects Bring Social Connection and Healing,summary_plus_title,high,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,2,3,2,2,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,,none,none,general_public,0,0,0,1,1,"Forced migration, mental-health needs, and resource access establish vulnerability and care need; social connection and coping resources establish efficacy and hope.","Care/compassion is dominant, with solidarity, empathy, and hope explicit in the healing/social-connection frame.","The article informs, provides service/resource information, advocates for mental health as a right, generates empathy, and communicates coping capacity.","No direct audience call to action is established from the preserved summary.","General public and affected-community awareness frame.","Official CVT article with exact title/date and substantive summary.",,GPT-5.6-Sol_ai_coding_v1
15,TC075-LI-001,TC075,Unidos MN,2026-01-06,LinkedIn,Healthcare Worker Resistance Training,summary_plus_title,high,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,1,0,0,2,3,2,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,attend_event;safety_plan,specific,moderate,workers,1,2,1,0,1,"Training is organized around ICE presence in healthcare, patient rights, HIPAA, and preparedness, combining threat with controllability and coping efficacy.","Defiance is dominant in the resistance frame; solidarity/care and reassurance are strong, with moderate urgency.","The post informs, warns, mobilizes attendance, advocates rights, regulates fear through preparation, and encourages resistance.","Healthcare workers are invited to a specific training and preparation activity.","Directly addresses healthcare workers/service providers.","Canonical LinkedIn title plus substantive summary including the line 'Care is a right. Preparation is power.'",,GPT-5.6-Sol_ai_coding_v1
16,D2-01-WEB-003,D2-01,ACLU of Minnesota,2026-01-07,website,ACLU and ACLU of Minnesota Demand Immediate Action After ICE Shoots and Kills Minnesota Woman,summary_plus_title,high,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,2,1,2,3,3,2,2,1,0,0,0,0,3,3,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,contact_official;share_information,general,high,general_public,0,3,1,0,0,"Fatal shooting establishes harm/loss; the release attributes responsibility to ICE and calls for federal agents to withdraw, framing the event as rights/norm violation and ongoing threat.","Devastation supports dominant grief; explicit demand and condemnation support dominant outrage, defiance, and urgency.","The release informs, mourns, documents, morally evaluates, advocates immediate institutional change, and mobilizes public pressure.","Immediate action is demanded, though the preserved summary does not retain a detailed procedure for the audience.","Public and policymaker-facing emergency rights advocacy.","Official ACLU-MN press release with exact title/date and substantive summary.",,GPT-5.6-Sol_ai_coding_v1
17,TC041-LI-001,TC041,International Institute of Minnesota,2026-03-12,LinkedIn,2026 Midway Chamber Nonprofit of the Year recognition,summary_plus_title,high,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,2,2,1,2,3,3,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,,none,none,general_public,0,0,0,0,0,"Reference to difficult recent months and community support signals prior vulnerability/harm while the award and collective effort signal efficacy and future possibility.","Gratitude and pride are dominant; solidarity, care, and hope are strong through recognition of staff, clients, students, volunteers, and donors.","The post celebrates, thanks, documents recent difficulty, builds solidarity, and reinforces collective efficacy.","No direct audience action requested.","Broad community/supporter recognition message.","Canonical LinkedIn title plus substantive summary.",,GPT-5.6-Sol_ai_coding_v1
18,CI0034,TC041,International Institute of Minnesota,2025-12-03,website,Statement on the President’s Attacks on the Somali Community in Minnesota,summary_plus_title,high,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,2,2,2,3,1,3,2,1,0,0,0,0,2,2,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,,none,none,ethnocultural_community,0,2,1,0,0,"The statement frames rhetoric and policy targeting Somali, Burmese, and Afghan communities as deliberate attacks, with planned enforcement and TPS changes increasing threat and uncertainty.","Moral outrage and solidarity are dominant; fear/anxiety, anger, care, defiance, and urgency are also clear.","The statement informs, warns, condemns, advocates, documents targeting, and publicly stands with affected communities.","No concrete audience-directed action is preserved in the summary.","Centers Somali and other immigrant/refugee communities while addressing the broader public.","Official Institute statement with exact title/date and substantive summary.",,GPT-5.6-Sol_ai_coding_v1
19,TC064-LI-001,TC064,The Advocates for Human Rights,2026-01-28,LinkedIn,Individual detained in Minnesota sues DHS over denial of access to lawyers,summary_plus_title,high,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,2,0,1,1,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,,none,none,general_public,0,1,1,0,1,"Detention and alleged denial of counsel are framed as harm, vulnerability, injustice, and legal/norm violation; litigation provides a coping/control pathway.","Moral outrage and defiance are clearest, with lower fear, care, empathy, and solidarity.","The post informs about litigation, advocates legal access, documents alleged rights denial, morally evaluates it, and signals legal efficacy.","No direct audience call to action in the preserved summary.","General public/legal-rights audience.","Canonical LinkedIn title plus substantive collector summary.",,GPT-5.6-Sol_ai_coding_v1
20,TC057-WEB-002,TC057,Immigrant Law Center of Minnesota,2025-12-19,website,Ten Things You Can Do to Support Immigrants and Refugees,summary_plus_title,high,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,3,2,2,2,0,0,2,1,2,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,share_information;donate;volunteer;mutual_aid;contact_official,specific,moderate,general_public,1,2,1,1,1,"Attacks on immigrant communities are framed as harm/injustice and vulnerability, while the ten concrete actions emphasize controllability, coping, collective efficacy, and future possibility.","Solidarity is dominant; care, empathy, hope, reassurance, and urgency are strong because concern is translated into practical support.","The article informs, reassures through concrete options, mobilizes, advocates, builds solidarity/empathy, provides resources, and increases efficacy.","The item explicitly offers ten concrete ways to act; specificity is high even though exact list details are not all preserved in the summary.","Directly addresses members of the general public who want to support immigrants and refugees.","Official ILCM article with exact title/date and substantive summary.",,GPT-5.6-Sol_ai_coding_v1
