item_id,variable_name,assigned_code,evidence_note,source_quality,decision_confidence,ambiguity_flag
TC054-LI-001,threat_appraisal,0,"Purchasing and tagging refugee-owned businesses is framed as a concrete, collective way to support livelihoods and new beginnings. Refugee identity alone is not treated as evidence of vulnerability.",summary_plus_title,medium,1
TC054-LI-001,harm_loss_appraisal,0,"Purchasing and tagging refugee-owned businesses is framed as a concrete, collective way to support livelihoods and new beginnings. Refugee identity alone is not treated as evidence of vulnerability.",summary_plus_title,medium,1
TC054-LI-001,injustice_appraisal,0,"Purchasing and tagging refugee-owned businesses is framed as a concrete, collective way to support livelihoods and new beginnings. Refugee identity alone is not treated as evidence of vulnerability.",summary_plus_title,medium,1
TC054-LI-001,uncertainty_appraisal,0,"Purchasing and tagging refugee-owned businesses is framed as a concrete, collective way to support livelihoods and new beginnings. Refugee identity alone is not treated as evidence of vulnerability.",summary_plus_title,medium,1
TC054-LI-001,responsibility_blame_appraisal,0,"Purchasing and tagging refugee-owned businesses is framed as a concrete, collective way to support livelihoods and new beginnings. Refugee identity alone is not treated as evidence of vulnerability.",summary_plus_title,medium,1
TC054-LI-001,intentionality_appraisal,0,"Purchasing and tagging refugee-owned businesses is framed as a concrete, collective way to support livelihoods and new beginnings. Refugee identity alone is not treated as evidence of vulnerability.",summary_plus_title,medium,1
TC054-LI-001,norm_violation_appraisal,0,"Purchasing and tagging refugee-owned businesses is framed as a concrete, collective way to support livelihoods and new beginnings. Refugee identity alone is not treated as evidence of vulnerability.",summary_plus_title,medium,1
TC054-LI-001,vulnerability_appraisal,0,"Purchasing and tagging refugee-owned businesses is framed as a concrete, collective way to support livelihoods and new beginnings. Refugee identity alone is not treated as evidence of vulnerability.",summary_plus_title,medium,1
TC054-LI-001,controllability_appraisal,1,"Purchasing and tagging refugee-owned businesses is framed as a concrete, collective way to support livelihoods and new beginnings. Refugee identity alone is not treated as evidence of vulnerability.",summary_plus_title,medium,1
TC054-LI-001,coping_efficacy_appraisal,1,"Purchasing and tagging refugee-owned businesses is framed as a concrete, collective way to support livelihoods and new beginnings. Refugee identity alone is not treated as evidence of vulnerability.",summary_plus_title,medium,1
TC054-LI-001,collective_efficacy_appraisal,1,"Purchasing and tagging refugee-owned businesses is framed as a concrete, collective way to support livelihoods and new beginnings. Refugee identity alone is not treated as evidence of vulnerability.",summary_plus_title,medium,1
TC054-LI-001,care_need_appraisal,1,"Purchasing and tagging refugee-owned businesses is framed as a concrete, collective way to support livelihoods and new beginnings. Refugee identity alone is not treated as evidence of vulnerability.",summary_plus_title,medium,1
TC054-LI-001,opportunity_hope_appraisal,1,"Purchasing and tagging refugee-owned businesses is framed as a concrete, collective way to support livelihoods and new beginnings. Refugee identity alone is not treated as evidence of vulnerability.",summary_plus_title,medium,1
TC054-LI-001,fear_intensity,0,"Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",summary_plus_title,medium,1
TC054-LI-001,anxiety_uncertainty_intensity,0,"Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",summary_plus_title,medium,1
TC054-LI-001,anger_intensity,0,"Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",summary_plus_title,medium,1
TC054-LI-001,moral_outrage_intensity,0,"Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",summary_plus_title,medium,1
TC054-LI-001,grief_sadness_intensity,0,"Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",summary_plus_title,medium,1
TC054-LI-001,solidarity_intensity,2,"Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",summary_plus_title,medium,1
TC054-LI-001,care_compassion_intensity,2,"Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",summary_plus_title,medium,1
TC054-LI-001,empathy_intensity,1,"Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",summary_plus_title,medium,1
TC054-LI-001,hope_intensity,2,"Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",summary_plus_title,medium,1
TC054-LI-001,gratitude_intensity,0,"Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",summary_plus_title,medium,1
TC054-LI-001,pride_intensity,1,"Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",summary_plus_title,medium,1
TC054-LI-001,reassurance_intensity,0,"Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",summary_plus_title,medium,1
TC054-LI-001,defiance_intensity,0,"Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",summary_plus_title,medium,1
TC054-LI-001,urgency_emotion_intensity,1,"Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",summary_plus_title,medium,1
TC054-LI-001,other_emotion_intensity,0,"Solidarity, care, and hope are clearly foregrounded through support for refugee livelihoods, courage, hope, and new beginnings. Positive framing is not coded as reassurance because no fear or uncertainty is being reduced.",summary_plus_title,medium,1
TC054-LI-001,function_inform,1,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_warn,0,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_reassure,0,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_regulate_fear,0,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_mobilize,1,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_advocate,0,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_provide_service,0,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_fundraise,0,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_build_solidarity,1,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_generate_empathy,1,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_moral_evaluation,0,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_increase_efficacy,1,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_mourn_commemorate,0,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_document_testify,0,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_celebrate,1,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_encourage_defiance,0,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
TC054-LI-001,function_other,0,"The post informs and mobilizes readers toward everyday economic support, builds solidarity and empathy, and increases perceived efficacy. It is not policy advocacy.",summary_plus_title,medium,1
