org_id,organization,community_ethnic_status,local_regional_status,national_status,new_verified_items,notes,audit_date
TC041,International Institute of Minnesota,not_yet_fully_audited,verified_coverage,verified_coverage,0,"Existing local coverage plus Washington Post national sourcing retained; no additional relation added in this sequential pass.",2026-09-26
TC042,Isuroon,not_yet_fully_audited,verified_coverage,not_yet_fully_audited,0,"Existing WCCO coverage retained; no new verified relation in pass.",2026-09-26
TC043,Minnesota African Women's Association,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in first broad pass.",2026-09-26
TC044,Minnesota Council of Churches - Refugee Services,not_yet_fully_audited,verified_coverage,not_yet_fully_audited,0,"Existing MPR relation retained. MCC media page surfaced additional outlet candidates, but organization-level independent-news naming requires article-level verification.",2026-09-26
TC045,Neighborhood House,verified_coverage,not_yet_fully_audited,not_yet_fully_audited,0,"Existing Community Reporter relation retained; no new verified item in pass.",2026-09-26
TC046,New American Development Center,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in broad pass.",2026-09-26
TC047,Oromo Community of Minnesota,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"First-party Dec. 16, 2025 TPS/ICE statement retained outside independent-news corpus; no verified independent uptake found.",2026-09-26
TC048,Our Saviour's Community Services,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in broad pass.",2026-09-26
TC049,PRISM,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No organization-specific in-window immigration-crisis independent-news relation verified.",2026-09-26
TC050,Project for Pride in Living,not_yet_fully_audited,not_yet_fully_audited,verified_coverage,1,"New New York Times relation added for PPL staff quotations concerning passports, fear, family safety and belonging; canonical article URL still needs QC.",2026-09-26
TC051,Somali Community Resettlement Services,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Government/resource listings found; no verified in-window independent-news relation.",2026-09-26
TC052,Somali Success,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found.",2026-09-26
TC053,YMCA of the North - Immigrant and Refugee Support,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation for immigrant/refugee support program found.",2026-09-26
TC054,Alight,not_yet_fully_audited,verified_coverage,not_yet_fully_audited,0,"Existing CBS/WCCO, MPR and Star Tribune relations retained; no new verified item in pass.",2026-09-26
TC055,CAPI USA,secondary_nonjournalistic_candidate,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Partner/funder reporting retained as secondary evidence; no verified independent-news item found.",2026-09-26
TC056,Karen Organization of Minnesota,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found.",2026-09-26
TC057,Immigrant Law Center of Minnesota,not_yet_fully_audited,verified_coverage,verified_coverage,0,"Extensive local and national coverage retained; no additional relation added in this sequential block beyond earlier national batch.",2026-09-26
TC058,Mid-Minnesota Legal Aid,verified_coverage,verified_coverage,verified_coverage,0,"Existing cross-layer coverage retained; no additional relation added in pass.",2026-09-26
TC059,Minnesota African Women Coalition,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in broad pass.",2026-09-26
TC060,SEWA-AIFW,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Later out-of-window coverage exists; no verified in-window independent-news relation found.",2026-09-26
TC061,Ukrainian American Community Center,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified organization-specific in-window immigration-crisis independent-news relation found.",2026-09-26
TC062,AVIVO,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified organization-specific in-window immigration-crisis independent-news relation found.",2026-09-26
TC063,Afghan Cultural Society,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"May 2026 Sahan feature falls outside study window; no verified in-window independent-news relation.",2026-09-26
TC064,The Advocates for Human Rights,not_yet_fully_audited,verified_coverage,verified_coverage,0,"Extensive local plus Washington Post national coverage retained; no additional item added in this pass.",2026-09-26
TC065,Volunteer Lawyers Network,verified_coverage,verified_coverage,not_yet_fully_audited,0,"Existing Community Reporter, Star Tribune and CBS relations retained.",2026-09-26
TC066,United Cambodian Association of Minnesota (UCAM),searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"Government service listings found; no verified in-window independent-news relation.",2026-09-26
TC067,Immigrant Connection - Waite Park,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found; geography/program status should remain visible in later screening.",2026-09-26
TC068,Immigrant Connection Mosaic,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,searched_no_verified_coverage_yet,0,"No verified in-window independent-news relation found in broad pass.",2026-09-26
TC069,Hmong Cultural Center,candidate_date_unresolved,searched_no_verified_coverage_yet,not_yet_fully_audited,0,"Hmong Times substantive candidate remains outside dated primary corpus because exact publication date is unresolved.",2026-09-26
