item_id,org_id,organization,date,platform,url,content_type,title_or_caption,source_summary,language,media_type,retrieval_status,source_repo_path
D2-03-WEB-001,D2-03,Ayada Leads,2025-11-03,website,https://www.ayadaleads.org/post/your-voice-your-choice-navigating-ranked-choice-voting-in-the-twin-cities-elections,blog_post,"Your Voice, Your Choice: Navigating Ranked Choice Voting in the Twin Cities Elections","Ayada Leads explains ranked-choice voting and Twin Cities local elections as part of its civic-engagement and leadership mission, encouraging informed participation by community members.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_31_AyadaLeads_web_verified.csv
D2-03-WEB-002,D2-03,Ayada Leads,2025-12-01,website,https://www.ayadaleads.org/post/understanding-tps,blog_post,"Understanding TPS","Ayada Leads discusses a public announcement about ending Temporary Protected Status for Somali residents, describes strong reactions in Minnesota, and highlights community leaders and organized responses at the Minnesota Capitol.",English,text_image,retrieved,research_workspace/05_data/raw/communication_items_batch_31_AyadaLeads_web_verified.csv
TC003-WEB-001,TC003,Centro Tyrone Guzman,2025-11-01,website,https://www.centromn.org/events/da-de-muertos-2025,event,"Día De Muertos Community Events - 2025","Centro promotes a multi-site Día de Muertos series centered on memory, ancestral tradition, love, community, and cultural continuity; the Centro location's main event occurred Nov. 1, 2025.",English;Spanish,text_image,retrieved,research_workspace/05_data/raw/communication_items_batch_34_CentroTyroneGuzman_web_verified.csv
TC030-WEB-001,TC030,African Development Center of Minnesota,2025-12-13,website,https://www.adcminnesota.org/housing,event,"Home Stretch Workshop","African Development Center lists a Home Stretch workshop for prospective homebuyers as part of its housing and financial education services.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_35_ADC_web_verified.csv
TC030-WEB-002,TC030,African Development Center of Minnesota,2026-01-10,website,https://www.adcminnesota.org/housing,event,"Home Stretch Workshop","African Development Center lists a Home Stretch workshop for prospective homebuyers as part of its housing and financial education services.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_35_ADC_web_verified.csv
TC030-WEB-003,TC030,African Development Center of Minnesota,2026-02-14,website,https://www.adcminnesota.org/housing,event,"Home Stretch Workshop","African Development Center lists a Home Stretch workshop for prospective homebuyers as part of its housing and financial education services.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_35_ADC_web_verified.csv
TC031-WEB-001,TC031,African Economic Development Solutions (AEDS),2025-11-06,website,https://www.aeds-mn.org/post/stronger-together-african-community-partners-kick-off-cohort-4,article,"Stronger Together: African Community Partners Kick Off Cohort 4","AEDS highlights the start of a new African Community Partners cohort focused on collaboration, organizational strengthening, leadership, and collective community impact.",English,text_image,retrieved,research_workspace/05_data/raw/communication_items_batch_35_AEDS_web_verified.csv
TC031-WEB-002,TC031,African Economic Development Solutions (AEDS),2026-01-15,website,https://www.aeds-mn.org/post/building-hope-preserving-a-century-old-legacy,article,"Building Hope: Preserving a Century-Old Legacy","AEDS profiles a local entrepreneur/business preservation story centered on legacy, resilience, ownership, and community economic development.",English,text_image,retrieved,research_workspace/05_data/raw/communication_items_batch_35_AEDS_web_verified.csv
TC031-WEB-003,TC031,African Economic Development Solutions (AEDS),2026-02-19,website,https://www.aeds-mn.org/post/black-history-month-community-forum-2026,article,"Black History Month Community Forum 2026","AEDS promotes or reflects on a Black History Month community forum centered on Black history, economic opportunity, community leadership, and collective advancement.",English,text_image,retrieved,research_workspace/05_data/raw/communication_items_batch_35_AEDS_web_verified.csv
TC031-WEB-004,TC031,African Economic Development Solutions (AEDS),2026-03-19,website,https://www.aeds-mn.org/post/nine-mothers-one-vision,article,"Nine Mothers, One Vision","AEDS tells the story of nine mothers working collectively toward entrepreneurship and economic opportunity, emphasizing shared vision, perseverance, mutual support, and community-building.",English,text_image,retrieved,research_workspace/05_data/raw/communication_items_batch_35_AEDS_web_verified.csv
TC008-WEB-001,TC008,Literacy Minnesota,2026-03-06,website,https://www.literacymn.org/news/important-organizational-update,news_item,"Important Organizational Update","Literacy Minnesota announces staff reductions tied to a budget shortfall, expresses gratitude to departing colleagues, and emphasizes continuity of core literacy programs and commitment to learners and communities.",English,text_image,retrieved,research_workspace/05_data/raw/communication_items_batch_36_LiteracyMN_web_verified.csv
TC060-WEB-001,TC060,SEWA-AIFW,2026-03-08,website,https://www.sewa-aifw.org/womens-bazaar,event,"South Asian Small Business Spring Bazaar","Official SEWA-AIFW event page announces a South Asian small-business spring bazaar at the SEWA community center with local vendors.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_38_SEWAAIFW_web_verified.csv
TC019-WEB-001,TC019,Esperanza United,2026-02-10,website,https://esperanzaunited.org/en/urgent-joint-statement-esperanza-united-and-violence-free-minnesota-on-the-destabilization-of-victim-services-and-immediate-need-for-economic-support/,statement,"Urgent joint statement: Esperanza United and Violence Free Minnesota on the destabilization of victim services and immediate need for economic support","Esperanza United and Violence Free Minnesota describe how intensified immigration enforcement is destabilizing survivor services, increasing fear, suppressing public participation, and creating immediate economic hardship.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_43_EsperanzaUnited_web_verified.csv
TC021-WEB-001,TC021,IAFR Jonathan House,2026-02-04,website,https://iafr.org/blog/an-empty-seat,blog,"An empty seat","IAFR describes how Operation Metro Surge affected Jonathan House residents and uses the story of an asylum seeker to explain the vulnerability of people who are lawfully present while pursuing asylum claims.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_44_JonathanHouse_web_verified.csv
TC034-WEB-001,TC034,Al-Maa'uun,2025-11-04,website,https://almaauun.org/event/sym-lens-lessons-youth-media-class/,event,"SYM Lens Lessons – Youth Media Class","Official event page presents a recurring youth media class series beginning November 4, 2025 and continuing through the study period.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_47_AlMaaun_web_verified.csv
TC034-WEB-002,TC034,Al-Maa'uun,2025-12-14,website,https://almaauun.org/sym-ambassador-banquet-celebrating-our-youth-leaders/,event,"SYM Ambassador Banquet – Celebrating Our Youth Leaders","Al-Maa'uun invites the community to a December 14, 2025 banquet honoring youth ambassadors in the Sahabah Youth Mentorship program.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_47_AlMaaun_web_verified.csv
TC034-WEB-003,TC034,Al-Maa'uun,2026-03-11,website,https://almaauun.org/events/,event,"Mentor Outing","Official events page lists a Mentor Outing on March 11, 2026.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_47_AlMaaun_web_verified.csv
TC034-WEB-004,TC034,Al-Maa'uun,2026-03-11,website,https://almaauun.org/events/,event,"Hunting Club Open House","Official events page lists a Hunting Club Open House on March 11, 2026.",English,text,retrieved,research_workspace/05_data/raw/communication_items_batch_47_AlMaaun_web_verified.csv
